Mzslsea,osjgmn,Melissa,Hoffman,0.07,,,,,,,
Scgahr,mBem,Sarah,Beam,0.09,,,,,,,
Dogdtthyh,nzolmdan,Dorathy,Goldman,0.69,,,,,,,
Dhogthy,oStnxal,Dorothy,Stang,0.82,,,,,,,
Micvejeo,aeyssender,Michelle,Messenger,0.76,,,,,,,
aMug,ars,Manuel,Wark,0.93,,,,,,,
Kjeeh,olGcolh,Kenneth,Gooch,0.69,,,,,,,
vafaji,lalye,Maria,Kelley,0.63,,,,,,,
una,iilpm,Yun,Williams,0.67,,,,,,,
aknl,Hoyms,Aaron,Haynes,0.68,,,,,,,
atzeym,ab,Kathleen,Sabo,0.73,,,,,,,
nerKvlind,rBnrid,Kelvin,Brand,0.56,,,,,,,
tBn,fThomfpskno,Bryan,Thompson,0.72,,,,,,,
wRjnosalwe,Cvrrk,Rosalie,Clark,0.66,,,,,,,
yutrck,Mukkhz,Chuck,Murphy,0.83,,,,,,,
oJ,Hencresqn,John,Henderson,0.04,,,,,,,
riria,avhma,Tricia,Parham,0.65,,,,,,,
hPniiw,cbrj,Philip,Gibbs,0.98,,,,,,,
uCcle,Cethnahm,Cecil,Cheatham,0.08,,,,,,,
Ruhte,rsehasl,Ruthie,Marshall,0.71,,,,,,,
epatueor,Mqcrinmon,Heather,Mccrimmon,0.71,,,,,,,
Jilivcn,ukrorw,Jillian,Darrow,0.03,,,,,,,
Akya,osblys,Almeda,Mosley,0.89,,,,,,,
hleec,Tjsy,Steven,Tejada,0.85,,,,,,,
qAwli,Mtptmbhews,Araceli,Matthews,0.77,,,,,,,
zsuir,ksthoagh,Julia,Ashton,0.85,,,,,,,
rGryro,Pucrett,Garry,Puckett,0.66,,,,,,,
xT,ci,Todd,Hicks,0.52,,,,,,,
vaowe,ycry,Marcos,Byrd,0.78,,,,,,,
Kcenech,Hookimnswz,Kenneth,Hopkins,0.014728922,,,,,,,
Chirstuhedor,e,Christopher,Jones,0.51,,,,,,,
cw,raxirs,Eric,Morris,0.6,,,,,,,
Cronv,o,Carol,Lowe,0.51,,,,,,,
Socgwt,Anrenseof,Scott,Anderson,0.93,,,,,,,
Lrrinm,eviyult,Lorraine,Gault,0.73,,,,,,,
Burhin,urine,Brian,Morin,0.59,,,,,,,
hTcomaw,xivmonw,Thomas,Nixon,0.66,,,,,,,
Ribfyhajrd,aonde,Richard,Bond,0.54,,,,,,,
vkl,Avndap,Kelly,Avendano,0.08,,,,,,,
,yqono,Jo,Colson,0.74,,,,,,,
Rwkesph,Rartl,Ralph,Ramirez,0.97,,,,,,,
ajro,Rsywej,Sharon,Reyes,0.66,,,,,,,
kepsrn,Wyrtiekz,Stephen,Wyrick,0.09,,,,,,,
grc,gHvjnro,Eric,Hannon,0.96,,,,,,,
Bhrdnai,intre,Brendan,Minter,0.5,,,,,,,
luarlc,htsy,Clarence,Story,0.59,,,,,,,
Resihca,Duqwk,Richard,Durkin,0.99,,,,,,,
ny,Rpnoqlds,Ruby,Reynolds,0.81,,,,,,,
Chrbsk,Mjisn,Charles,Martin,0.79,,,,,,,
Rnsld,Aydlexrsn,Ronald,Anderson,0.09,,,,,,,
zdzotnh,Ritbardy,John,Richard,0.59,,,,,,,
Fralnwcudes,Merrp,Frances,Merritt,0.99,,,,,,,
raBrbazrq,onad,Barbara,Jordan,0.98,,,,,,,
fbl,laAres,Henry,Adams,0.58,,,,,,,
Wlpimam,Jnhxmkon,William,Johnson,0.92,,,,,,,
Tirevos,eLneey,Teresa,Looney,0.51,,,,,,,
Eugufex,hJonsjod,Eugene,Johnson,0.95,,,,,,,
hJw,Stgoqt,John,Scott,0.87,,,,,,,
avyr,iqrney,Mary,Tierney,1,,,,,,,
Bde,tsxoin,Brent,Stinson,0.59,,,,,,,
rni,Bhxei,Eric,Baxter,0.84,,,,,,,
Wilmvat,Houlyerti,William,Holbert,0.5,,,,,,,
neFc,Okstgaen,Fred,Ostrander,0.66,,,,,,,
Txle,Sctkjdale,Tyler,Stockdale,0.58,,,,,,,
Bwrne,nv,Blaine,Cook,0.7,,,,,,,
nda,xrowwu,Linda,Brown,0.77,,,,,,,
Frtpcics,R,Francis,Rice,0.84,,,,,,,
hbKftby,ynbgsh,Kathy,Lynch,0.7,,,,,,,
Ktahx,oMbf,Kathy,Moore,0.74,,,,,,,
Beatnhme,Hnsrovn,Beatrice,Henderson,0.82,,,,,,,
aMdlei,Rzjmireple,Madeline,Romriell,0.04,,,,,,,
iVcoria,xtnmh,Victoria,Smith,0.83,,,,,,,
ap,yMnorn,Jan,Moore,0.56,,,,,,,
iichd,jenesytt,Richard,Hennessy,0.018525319,,,,,,,
Joulixv,oJhnond,Julia,Johnson,0.8,,,,,,,
balna,uRhta,Tana,Ruiz,0.57,,,,,,,
