Mejls5a,Hoffljian,Melissa,Hoffman,0.07
Sarajo,Beaili,Sarah,Beam,0.09
D0rat1>y,G0lclnan,Dorathy,Goldman,0.69
Dor0thu,Starn9,Dorothy,Stang,0.82
Miche|ie,Mes5er:ger,Michelle,Messenger,0.76
Manvel,War1c,Manuel,Wark,0.93
Kenmeth,Go0c1>,Kenneth,Gooch,0.69
Marla,Kel'lev,Maria,Kelley,0.63
Yur1,Wi|liaiii5,Yun,Williams,0.67
Aaror1,Havme5,Aaron,Haynes,0.68
Kath|een,Sal>o,Kathleen,Sabo,0.73
Kejvin,Brancl,Kelvin,Brand,0.56
Bryarm,Thomp5oiii,Bryan,Thompson,0.72
Ro5a|le,C1arlc,Rosalie,Clark,0.66
Chvc1<,Murphv,Chuck,Murphy,0.83
Jol>ri,Henders0n,John,Henderson,0.04
Tr'lcia,Parhai:'l,Tricia,Parham,0.65
Phljlp,Gihl>5,Philip,Gibbs,0.98
Cedj,Cheatbam,Cecil,Cheatham,0.08
Rutbie,Mar5haj|,Ruthie,Marshall,0.71
Heati>er,Mccnnmori,Heather,Mccrimmon,0.71
Jilliam,Darr0vu,Jillian,Darrow,0.03
Almec|a,Mo5ley,Almeda,Mosley,0.89
Stevem,Teiada,Steven,Tejada,0.85
Aracel1,Matthevvs,Araceli,Matthews,0.77
Jujia,Ashtor'j,Julia,Ashton,0.85
Garrv,Pvdcett,Garry,Puckett,0.66
Tocicl,Hicl<s,Todd,Hicks,0.52
Marco5,Byrcl,Marcos,Byrd,0.78
Kernmeth,Hopl<iri5,Kenneth,Hopkins,0.014728922
Chr:stoploer,J0me5,Christopher,Jones,0.51
Er'lc,M0rrj5,Eric,Morris,0.6
Car0i,L0vye,Carol,Lowe,0.51
Sc0tt,Ander5on,Scott,Anderson,0.93
Lorralme,Gavlt,Lorraine,Gault,0.73
Briari,M0r'lm,Brian,Morin,0.59
Th0mas,N:xoiii,Thomas,Nixon,0.66
Ricbard,Borncl,Richard,Bond,0.54
Kej1v,Avenc1an0,Kelly,Avendano,0.08
J0,Co15om,Jo,Colson,0.74
Ra|pl>,Ran'lre2,Ralph,Ramirez,0.97
Shar0n,Reves,Sharon,Reyes,0.66
Stepheri,Wyrjc|<,Stephen,Wyrick,0.09
Er'1<,Hann0n,Eric,Hannon,0.96
Brenclan,Mirriter,Brendan,Minter,0.5
C|arence,Storv,Clarence,Story,0.59
Ricbarc1,Durkjri,Richard,Durkin,0.99
Ruiov,Reyri0ids,Ruby,Reynolds,0.81
Cbar1e5,Mart:rj,Charles,Martin,0.79
Ronalcl,Ar:ders0n,Ronald,Anderson,0.09
Jobrl,Richarcl,John,Richard,0.59
Frailices,Merr:tt,Frances,Merritt,0.99
Barl>ara,Jorclar:,Barbara,Jordan,0.98
Henrv,Aclams,Henry,Adams,0.58
Will'iam,John5on,William,Johnson,0.92
Tere5a,Loorlev,Teresa,Looney,0.51
Eugeme,Johnsori,Eugene,Johnson,0.95
Jobn,Sc0tt,John,Scott,0.87
Marv,Tiemeu,Mary,Tierney,1
Brerit,Stln5on,Brent,Stinson,0.59
Er|c,Baxter,Eric,Baxter,0.84
W'liljam,Hoii>ert,William,Holbert,0.5
Frec'l,Ostramder,Fred,Ostrander,0.66
Tv1er,Stoc1<dale,Tyler,Stockdale,0.58
Bjaine,Cool<,Blaine,Cook,0.7
L'lnc|a,Br0wn,Linda,Brown,0.77
Franc'ls,Rlce,Francis,Rice,0.84
Katl>v,Lymch,Kathy,Lynch,0.7
Katl>v,M0ore,Kathy,Moore,0.74
Beatmce,Hendersom,Beatrice,Henderson,0.82
Made|lne,Roiiirlel1,Madeline,Romriell,0.04
Vict0rja,Srmitb,Victoria,Smith,0.83
Jari,Mo0re,Jan,Moore,0.56
Ricbarc1,Hennes5y,Richard,Hennessy,0.018525319
Juila,Johri5om,Julia,Johnson,0.8
Taria,Rui2,Tana,Ruiz,0.57
Justjne,Fer9vs0n,Justine,Ferguson,0.5
Imo9ene,Bames,Imogene,Barnes,0.63
Saiiiantloa,Sm'ltl>,Samantha,Smith,0.98
Basj1,Mce|r0y,Basil,Mcelroy,1
R0seiliary,Cl'irie,Rosemary,Cline,0.61
Jerei'liv,Geriiialri,Jeremy,Germain,0.08
Brericja,Parlcs,Brenda,Parks,0.03
Shanmorl,Re9a|ad0,Shannon,Regalado,0.65
D0ra,Bvchanan,Dora,Buchanan,0.51
Wamc|a,Washjngton,Wanda,Washington,0.94
F1oud,Par|cer,Floyd,Parker,0.84
Shinev,Costl9am,Shirley,Costigan,0.8
Crvstal,Caclet,Crystal,Cadet,0.61
Jo5eplo,Meek5,Joseph,Meeks,0.76
Mar4ret,Ha1i,Margret,Hall,0.96
Wenclu,Dav'ls,Wendy,Davis,0.06
Bemlce,Fit2patnclc,Bernice,Fitzpatrick,0.7
Ljsa,Samcbe2,Lisa,Sanchez,0.67
Irrna,Sch:ricller,Irma,Schindler,0.61
Donrla,Grifemaiefeiiia1eiths,Donna,Grifemalefemaleiths,0.65
D0u9la5,Wa|t0m,Douglas,Walton,0.03
Ellsa,Barrv,Elisa,Barry,0.67
Jesvs,Curmutt,Jesus,Curnutt,0.69
Curt''ls,Gar2a,Curtis,Garza,0.62
Jo5epl>,Steiril>er9,Joseph,Steinberg,0.71
Euelvm,Ke|:er,Evelyn,Keller,0.66
Alexancler,Daniel5,Alexander,Daniels,0.96
Brancjom,Kin9,Brandon,King,0.89
Lavra,Pa:c,Laura,Pak,0.69
Dermc1<,Greenyvo0d,Derrick,Greenwood,0.09
Tr0y,Pa|rmer,Troy,Palmer,0.87
Minmie,Verret,Minnie,Verret,0.1
Jo5hya,Sanc|er,Joshua,Sander,0.97
Sbelley,Haii1er,Shelley,Hamer,0.74
Ant0m:a,Roserriomd,Antonia,Rosemond,0.98
Jenn|femaleer,Andreuys,Jennifemaleer,Andrews,0.63
Rut|>,Mccrav,Ruth,Mccray,0.83
Edcl1e,Ga9e,Eddie,Gage,0.6
Thoria5,Mvers,Thomas,Myers,0.6
Ric1>arcl,O|ivo,Richard,Olivo,0.87
J0se,Turmer,Jose,Turner,0.98
Dor0tbv,Delayega,Dorothy,Delavega,0.95
Tomy,Will:arn5on,Tony,Williamson,0.51
Joei,Slms,Joel,Sims,0.57
Aljie,Joiiijer,Allie,Joiner,0.52
Michae1,Grifema|efeiiia1ein,Michael,Grifemalefemalein,0.97
Ju5tin,Spjl1rnan,Justin,Spillman,0.94
Mjcbaej,Padjija,Michael,Padilla,0.85
Benjanjm,Samari'le9o,Benjamin,Samaniego,0.69
Ne|son,Thomp50ri,Nelson,Thompson,0.76
Saridra,Ortlz,Sandra,Ortiz,0.81
Da'liia,Garc'la,Dana,Garcia,0.73
Chrj5,Llevve||yn,Chris,Llewellyn,0.85
Lvnn,Hoa9iarid,Lynn,Hoagland,0.92
The0dore,Padci0ck,Theodore,Paddock,0.9
Cbarje5,S0to,Charles,Soto,0.98
Marqaret,Turrnev,Margaret,Turney,0.87
L0ri,Gonzajes,Lori,Gonzales,0.72
Pruc1erice,A9uirre,Prudence,Aguirre,0.78
Bonn:e,Wrerl,Bonnie,Wren,0.77
J0se,Baebr,Jose,Baehr,0.54
Micbe1e,Michai5l<i,Michele,Michalski,0.93
Marle,Tav|0r,Marie,Taylor,0.08
Keyin,Praclo,Kevin,Prado,0.07
Char|ie,Stepbem5on,Charlie,Stephenson,0.52
Mayreem,Gel>l>ard,Maureen,Gebhard,0.53
Kemrleth,Reeci,Kenneth,Reed,0.08
Micbaei,Thoma5,Michael,Thomas,0.58
Juar'1a,F|vnri,Juana,Flynn,0.93
Dorotjoy,Ryar'1,Dorothy,Ryan,0.78
Neai,Bal<er,Neal,Baker,0.09
Trau:5,Pickerjng,Travis,Pickering,0.99
Jorclan,Ervv:m,Jordan,Erwin,0.07
Wi1l:an,Prvritv,William,Prunty,0.6
Jaijie5,Jor:e5,James,Jones,0.86
Berrjetta,Bingbari,Bernetta,Bingham,0.62
Kev'1m,Bac0n,Kevin,Bacon,0.06
Marv,Ma22e0,Mary,Mazzeo,0.5
Idei|,Wofemalefema1eorci,Idell,Wofemalefemaleord,0.76
Mic1>ae|,Lipscoiiib,Michael,Lipscomb,0.79
Er:ca,M0ore,Erica,Moore,0.09
Sve,Kej1ev,Sue,Kelley,0.08
Peter,Eyerette,Peter,Everette,0.87
Arige'la,Thonas,Angela,Thomas,0.002016587
Barhara,Cast:|l0,Barbara,Castillo,0.5
Tbona5,Huripbreys,Thomas,Humphreys,0.64
Aret|>a,Edwarc|5,Aretha,Edwards,0.82
Marv,Haacl<,Mary,Haack,0.07
Cbester,Farrovv,Chester,Farrow,0.78
Marv,Simp50ri,Mary,Simpson,0.91
Kri5terj,Smip5on,Kristen,Simpson,0.59
Brett,Menclez,Brett,Mendez,0.96
Ph'j1lip,Turrier,Phillip,Turner,0.68
Fran1<ijn,Gregorv,Franklin,Gregory,0.000999877
Framcisco,Wil5on,Francisco,Wilson,0.67
Mar:e,Dommouer,Marie,Donmoyer,0.85
Ronalcl,Jarme5,Ronald,James,0.77
Frarii<,Roij'lero,Frank,Romero,0.94
Rosavra,Saii:tee,Rosaura,Santee,0.58
Dem:5,Peacbeu,Denis,Peachey,0.64
Ke|1v,Kelsev,Kelly,Kelsey,0.59
Pane1a,Sync|er,Pamela,Synder,1
Stacev,Jordari,Stacey,Jordan,0.76
Micloae1,Ba'liv,Michael,Baily,0.98
Keliu,Campo5,Kelly,Campos,0.62
Thejma,Amhr05e,Thelma,Ambrose,0.64
Johii:,Tip1er,John,Tipler,0.56
Donajci,M1|ler,Donald,Miller,0.88
J05epb,Rul>1e,Joseph,Ruble,0.63
Stepl>en,Snlder,Stephen,Snider,0.05
Bradv,Nap'|er,Brady,Napier,0.67
Garv,Thomps0n,Gary,Thompson,0.64
Amamc|a,Clegh0n,Amanda,Cleghorn,0.53
Brvce,Cahljj,Bruce,Cahill,0.74
Judl,J0rie5,Judi,Jones,0.71
Brac1,Lawremce,Brad,Lawrence,0.85
Chri5tlari,Cr0ce,Christian,Croce,0.06
Martba,Ambr0se,Martha,Ambrose,0.52
Donma,Turrier,Donna,Turner,0.81
Ramom,Leuvls,Ramon,Lewis,0.6
Yvorine,J0rie5,Yvonne,Jones,0.7
E5tloer,Himes,Esther,Hines,0.88
Comstance,Pema,Constance,Pena,0.87
Wa:ter,C0llln5,Walter,Collins,0.04
Artl>vr,Kemdall,Arthur,Kendall,0.09
Timotioy,Tell0,Timothy,Tello,0.87
Jo5eph,Lee,Joseph,Lee,0.83
Mavreen,Breuuer,Maureen,Brewer,0.63
Ge0rge,Cunming1>am,George,Cunningham,0.72
Edvvlri,J0hnson,Edwin,Johnson,0.71
Mijton,Otls,Milton,Otis,0.73
Bob|>je,Vir'le5,Bobbie,Vines,0.06
Je55:ca,Rus|>,Jessica,Rush,0.62
Denjse,Browr|,Denise,Brown,0.54
Edwarcl,Turrler,Edward,Turner,0.74
Kathv,Bemjan'ln,Kathy,Benjamin,0.004015576
Pau1,Lafemalejeyr,Paul,Lafemaleleur,0.87
Matt,Rovmtree,Matt,Rountree,0.93
Orlar'ld0,Wa11ace,Orlando,Wallace,0.56
Eljza|>eth,Okeefe'l'lialee,Elizabeth,Okeefemalee,0.95
L0ren,Sander5,Loren,Sanders,0.81
Thoilia5,Letcbw0rtb,Thomas,Letchworth,0.9
Ced|,Rislnger,Cecil,Risinger,0.54
Nei1,Beclc,Nell,Beck,0.93
Sybje,Camp|oe|l,Syble,Campbell,0.54
Rlc1>,Lova,Rich,Loya,0.51
A|hert,Ric1>arcl,Albert,Richard,0.77
E1sa,Ma5on,Elsa,Mason,0.63
Wenc1v,Tbib0claux,Wendy,Thibodaux,0.96
Eclwarcj,M00re,Edward,Moore,0.84
Jo5epb:ne,Matberiv,Josephine,Matherly,0.09
Brer:cla,Clarl<,Brenda,Clark,0.51
Roria|cl,Weher,Ronald,Weber,0.1
Ranlro,Sne1:,Ramiro,Snell,0.98
Lovl5e,Yee,Louise,Yee,0.78
Eugeme,Mcnaster,Eugene,Mcmaster,0.7
Erjc,Th0iij,Eric,Thom,0.61
Kenneti>,Phiilips,Kenneth,Phillips,0.06
Mart:rl,Sul|luan,Martin,Sullivan,0.65
Ror:mie,Metcaifema|e,Ronnie,Metcalfemale,0.7
Dan'lei,Lind|ev,Daniel,Lindley,0.53
Samcjra,Johm50n,Sandra,Johnson,0.09
Peter,Lawremce,Peter,Lawrence,0.08
An9ela,Klttrej1,Angela,Kittrell,0.08
Williarn,Orte4a,William,Ortega,0.76
De1'1a,Worti'ljan,Delia,Wortman,0.66
Rodr'lev,Ll0vcl,Rodney,Lloyd,0.74
Mari0rv,Robins0r:,Marjory,Robinson,0.53
Heriry,Rovve,Henry,Rowe,0.83
Rache1,Shellev,Rachel,Shelley,0.04
Miriri:e,Milis,Minnie,Mills,0.54
Larrv,Deskims,Larry,Deskins,0.53
Car'lna,Nich0i5,Carina,Nichols,0.95
Em'lila,Jacoio5,Emma,Jacobs,0.63
Marlaiii,Va|ente,Marian,Valente,0.8
Mar|a,Thonpson,Maria,Thompson,0.5
Bernaclette,Tag4art,Bernadette,Taggart,0.58
Lavra,Boncjl,Laura,Bondi,0.63
Rayn0ncl,Re'ld,Raymond,Reid,0.69
Car01ym,Dei>0er,Carolyn,Deboer,0.07
J05epb,C|ari<,Joseph,Clark,0.66
Gl0ru,Pate:,Glory,Patel,0.03
Yvonrie,Kerimv,Yvonne,Kenny,0.63
Kim1>erjv,Hahrj,Kimberly,Hahn,0.05
Natbaiii,Snitl>,Nathan,Smith,0.84
Heatl>er,Mentt,Heather,Merritt,0.57
Yuette,Per1a,Yvette,Pena,0.86
Bettv,Hiei>ert,Betty,Hiebert,0.86
Daujcl,Injer,David,Imler,0.7
Eli2a|>eth,Braxt0n,Elizabeth,Braxton,0.73
Mom5,Ba|<er,Morris,Baker,0.53
Ricbard,Iruim9,Richard,Irving,0.04
